#	\#
_	\_
a	a
b	b
c͡ç	\t{c\c{c}}
c	c
d͡z	\t{dz}
d͡ʑ	\t{d\textctz}
d͡ʒ	\t{dZ}
d	d
e	e
f	f
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p͡f	\t{pf}
p	p
q͡χ	\t{qX}
q	q
r	r
s	s
t͡s	\t{ts}
t͡ɕ	\t{tC}
t͡ɬ	\t{t\textbeltl}
t͡ʂ	\t{t\:s}
ʈ͡ʂ	\t{\:t\:s}
t͡ʃ	\t{tS}
t	t
u	u
v	v
w	w
x	x
y	y
z	z
æ	\ae 
ç	\c{c}
ð	D
ø	\o 
ħ	\textcrh 
ŋ	N
œ	\oe 
ɐ	5
ɑ	A
ɒ	6
ɔ	O
ɕ	C
ɖ͡ʐ	\t{\:d\:z}
ɖ	\:d
ɘ	9
ə	@
ɛ	E
ɜ	3
ɟ͡ʝ	\t{\textbardotlessj J}
ɟ	\textbardotlessj 
ɡ	g
ɢ	\;G
ɣ	G
ɤ	7
ɥ	4
ɦ	H
ɨ	1
ɪ	I
ɫ	\textsuperimposetilde{l}
ɬ	\textbeltl 
ɭ	\:l
ɮ	\textlyoghlig 
ɯ	W
ɱ	M
ɲ	\textltailn 
ɳ	\:n
ɴ	\;N
ɵ	8
ɸ	F
ɹ	\*r
ɺ	\textturnlonglegr 
ɻ	\:R
ɽ	\:r
ɾ	R
ʀ	\;R
ʁ	K
ʂ	\:s
ʃ	S
ʈ	\:t
ʉ	0
ʊ	U
ʋ	V
ʌ	2
ʍ	\*w
ʎ	L
ʏ	Y
ʐ	\:z
ʑ	\textctz 
ʒ	Z
ʔ	P
ʕ	Q
ʘ	\!o
ʜ	\;H
ʝ	J
ʡ	\textbarglotstop 
ʰ	\super h
ʲ	\super j
ʷ	\super w
ʼ	’
ˀ	\super P
ˠ	\super G
ˤ	\super Q
̃	\~{}
̴	\textsuperimposetilde{}
β	B
θ	T
χ	X
̚	
